CAL_YEAR,JAN_01,FEB_02,MAR_03,AP1_04,AP2_05,MAY_06,JUN_07,JUL_08,AU1_09,AU2_10,SEP_11,OCT_12,NOV_13,DEC_14
1985,26831,33391,33808.5,76572,77206,69221,44785,24072,18364,16813,21996.5,22116.5,15662,15534.5
1986,29773.5,73136.5,85885.5,81146,81545,82659.5,85918,31809,18928,18231,22948,24548.5,19734,23327.5
1987,26657,24869.5,29221,27447,35650,41085.5,23064.5,19899,12325,12077,14728,13535,13102.5,14929
1988,15471.5,18720,19216.5,26203,36682,42347,34052.5,18602.5,10490,10101,13652,13540,13238.5,15638.5
1989,16519,22419,44092,59024,70117,56029.5,49552.5,25184,16841,17113,18149,19244,14717,17428.5
1990,16750,20342,22611,29353,40400,40694.5,44121,24913.5,15104,15676,15382.5,14668.5,14588.5,13834.5
1991,16016.5,23348.5,17912.5,21557,21853,46383,47857.5,27692.5,12509,11461,15368.5,13713.5,15758.5,18371
1992,14402.5,22048,20542,23426,28713,34546,19269.5,15774,9064,8694,11481,15066,13014.5,12961
1993,12688,16258.5,39469.5,53221,48412,98162.5,71404,34421.5,21530,21148,17966,15216,15621,17413.5
1994,17690,15798,22581.5,26964,37939,43742,25955.5,17706,11688,10770,13199,13368,13146.5,15644.5
1995,24616,43138.5,39201,50689,43519,81187.5,90994.5,49565.5,20838,18963,19360.5,22356.5,19435,39879.5
1996,39103.5,70705.5,57229,82737,88298,90045,97312.5,43357,22375,20195,21475.5,23378.5,17700,31713.5
1997,74689,66243,70196,80548,104485,121553.5,112151.5,47182,26979,24099,22757.5,31575.5,20248,23449.5
1998,36076,37809.5,40453.5,40981,47977,109966,89116.5,42502.5,20987,18535,21124.5,21011.5,17271.5,23875.5
