Cal_date,Julian_day,cal_mon,BON_in_mon_sp_prop,TDA_in_mon_sp_prop,JDA_in_mon_sp_prop,MCN_in_mon_sp_prop,PRD_in_mon_sp_prop,IHR_in_mon_sp_prop,LMN_in_mon_sp_prop,LGS_in_mon_sp_prop,LWG_in_mon_sp_prop,HELL_in_mon_sp_prop,DWR_in_mon_sp_prop
18-Feb,49,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19-Feb,50,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20-Feb,51,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21-Feb,52,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
22-Feb,53,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23-Feb,54,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24-Feb,55,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25-Feb,56,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
26-Feb,57,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
27-Feb,58,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
28-Feb,59,"""02 - FEB""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1-Mar,60,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2-Mar,61,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3-Mar,62,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4-Mar,63,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5-Mar,64,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6-Mar,65,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7-Mar,66,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8-Mar,67,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9-Mar,68,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10-Mar,69,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11-Mar,70,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12-Mar,71,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13-Mar,72,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14-Mar,73,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15-Mar,74,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16-Mar,75,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17-Mar,76,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
18-Mar,77,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19-Mar,78,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20-Mar,79,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21-Mar,80,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
22-Mar,81,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23-Mar,82,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24-Mar,83,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25-Mar,84,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
26-Mar,85,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
27-Mar,86,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
28-Mar,87,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
29-Mar,88,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
30-Mar,89,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
31-Mar,90,"""03 - MAR""",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1-Apr,91,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
2-Apr,92,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
3-Apr,93,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
4-Apr,94,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
5-Apr,95,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
6-Apr,96,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
7-Apr,97,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
8-Apr,98,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
9-Apr,99,"""04 - AP1""",0.00,0.00,0.00,0.00,1.00,1.15,1.15,1.15,1.15,1.00,1.00
10-Apr,100,"""04 - AP1""",2.50,2.50,2.50,2.50,1.00,1.15,1.15,1.15,1.15,1.00,1.00
11-Apr,101,"""04 - AP1""",2.50,2.50,2.50,2.50,1.00,1.15,1.15,1.15,1.15,1.00,1.00
12-Apr,102,"""04 - AP1""",2.50,2.50,2.50,2.50,1.00,1.15,1.15,1.15,1.15,1.00,1.00
13-Apr,103,"""04 - AP1""",2.50,2.50,2.50,2.50,1.00,1.15,1.15,1.15,1.15,1.00,1.00
14-Apr,104,"""04 - AP1""",2.50,2.50,2.50,2.50,1.00,1.15,1.15,1.15,1.15,1.00,1.00
15-Apr,105,"""04 - AP1""",2.50,2.50,2.50,2.50,1.00,1.15,1.15,1.15,1.15,1.00,1.00
16-Apr,106,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17-Apr,107,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
18-Apr,108,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19-Apr,109,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20-Apr,110,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21-Apr,111,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
22-Apr,112,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23-Apr,113,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24-Apr,114,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25-Apr,115,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
26-Apr,116,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
27-Apr,117,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
28-Apr,118,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
29-Apr,119,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
30-Apr,120,"""05 - AP2",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1-May,121,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2-May,122,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3-May,123,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4-May,124,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5-May,125,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6-May,126,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7-May,127,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8-May,128,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9-May,129,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10-May,130,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11-May,131,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12-May,132,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13-May,133,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14-May,134,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15-May,135,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16-May,136,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17-May,137,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
18-May,138,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19-May,139,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20-May,140,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21-May,141,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
22-May,142,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23-May,143,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24-May,144,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
25-May,145,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
26-May,146,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
27-May,147,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
28-May,148,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
29-May,149,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
30-May,150,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
31-May,151,"""06 - MAY",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
1-Jun,152,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
2-Jun,153,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
3-Jun,154,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
4-Jun,155,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
5-Jun,156,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
6-Jun,157,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,1.00
7-Jun,158,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
8-Jun,159,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00,
9-Jun,160,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
10-Jun,161,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
11-Jun,162,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
12-Jun,163,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
13-Jun,164,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
14-Jun,165,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
15-Jun,166,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
16-Jun,167,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
17-Jun,168,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
18-Jun,169,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
19-Jun,170,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
20-Jun,171,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.50,1.50,1.00,1.00
21-Jun,172,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
22-Jun,173,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
23-Jun,174,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
24-Jun,175,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
25-Jun,176,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
26-Jun,177,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
27-Jun,178,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
28-Jun,179,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
29-Jun,180,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
30-Jun,181,"""07 - JUN",1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
1-Jul,182,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2-Jul,183,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3-Jul,184,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4-Jul,185,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5-Jul,186,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6-Jul,187,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7-Jul,188,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8-Jul,189,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9-Jul,190,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10-Jul,191,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11-Jul,192,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12-Jul,193,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13-Jul,194,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14-Jul,195,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15-Jul,196,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16-Jul,197,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17-Jul,198,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
18-Jul,199,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19-Jul,200,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
20-Jul,201,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21-Jul,202,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
22-Jul,203,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
23-Jul,204,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
24-Jul,205,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
25-Jul,206,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
26-Jul,207,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
27-Jul,208,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
28-Jul,209,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
29-Jul,210,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
30-Jul,211,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
31-Jul,212,"""08 - JUL",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1-Aug,213,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2-Aug,214,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3-Aug,215,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4-Aug,216,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5-Aug,217,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
6-Aug,218,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
7-Aug,219,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8-Aug,220,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
9-Aug,221,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
10-Aug,222,"""09 - AU1",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
